CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,24,2,NA,0,0,0,60,270,0,0,240,0,0,240,540
20100000000000,49,2,2,0,0,0,40,30,0,0,530,0,0,0,840
20100000000000,52,2,NA,0,0,0,35,45,10,0,345,0,0,410,390
20100000000000,42,2,NA,0,0,0,30,55,0,0,205,0,0,525,600
20100000000000,60,2,3,0,0,0,90,165,0,395,80,0,0,60,510
20100000000000,47,1,3,0,0,0,90,60,60,0,600,0,0,0,570
20100000000000,40,1,NA,195,0,0,95,120,195,0,175,0,0,0,510
20100000000000,43,1,NA,150,0,0,60,20,15,0,100,0,0,480,475
20100000000000,60,2,NA,0,0,0,120,210,120,0,240,0,0,60,480
20100000000000,43,1,1,35,0,0,75,75,30,0,585,0,0,0,600
20100000000000,51,2,3,0,0,0,30,0,0,0,110,0,0,705,460
20100000000000,65,2,NA,0,0,0,90,180,0,0,690,0,0,0,420
20100000000000,32,2,2,70,0,0,40,330,0,0,215,0,0,0,685
20100000000000,19,2,NA,0,0,205,35,0,0,80,120,90,0,0,610
20100000000000,54,2,NA,0,0,0,60,100,0,0,540,0,0,0,710
20100000000000,55,2,NA,0,0,0,30,210,10,0,120,0,0,390,545
20100000000000,52,2,NA,0,0,0,25,410,0,0,415,0,0,0,590
20100000000000,25,1,NA,0,0,0,30,20,15,0,375,0,0,450,360
20100000000000,47,1,NA,32,0,0,90,39,10,0,180,0,0,370,533
20100000000000,58,1,3,0,0,0,50,0,0,0,30,0,0,830,425
20100000000000,80,2,3,0,0,0,180,0,0,0,690,0,0,0,570
20100000000000,45,1,5,0,0,0,12,0,0,0,768,0,0,0,660
20100000000000,78,1,3,0,0,0,120,0,0,0,600,45,0,0,635
20100000000000,59,2,4,0,0,0,20,200,0,0,356,0,0,0,702
20100000000000,45,2,1,180,0,0,25,0,0,0,180,0,105,450,360
20100000000000,21,1,2,0,0,0,20,170,2,0,668,0,0,245,300
20100000000000,38,2,NA,0,0,0,10,0,0,0,708,0,0,60,660
20100000000000,42,2,1,585,0,0,60,120,10,0,95,0,0,45,495
20100000000000,59,2,3,0,0,0,10,10,0,0,280,0,0,480,505
20100000000000,75,2,3,0,0,0,105,285,0,0,450,0,0,0,600
20100000000000,68,2,NA,0,0,0,240,330,0,0,400,0,0,0,450
20100000000000,85,1,NA,0,0,0,180,0,0,0,180,0,0,570,450
20100000000000,80,2,NA,0,0,0,150,120,0,0,630,0,0,0,540
20100000000000,44,2,1,0,0,0,180,80,0,0,270,0,0,0,630
20100000000000,71,2,NA,0,5,0,135,220,0,60,375,0,0,0,405
20100000000000,36,1,1,0,0,0,15,0,0,0,285,0,0,690,410
20100000000000,52,2,NA,0,0,0,10,20,40,0,330,0,0,0,565
20100000000000,85,2,1,0,60,0,90,30,0,75,150,0,245,0,600
20100000000000,27,2,2,70,0,0,70,35,0,0,270,35,0,0,630
20100000000000,56,2,NA,0,0,0,30,0,0,0,135,0,0,788,487
20100000000000,85,2,NA,0,0,0,120,170,30,0,220,0,0,0,870
20100000000000,18,2,2,0,0,0,50,40,15,0,275,0,0,505,410
20100000000000,50,1,3,0,0,0,30,545,80,0,345,0,0,0,360
20100000000000,52,1,NA,0,0,0,60,0,0,0,120,0,0,900,330
20100000000000,42,2,NA,0,0,0,150,300,70,0,300,0,0,0,525
20100000000000,47,1,1,1,0,0,20,0,0,0,132,110,0,530,570
20100000000000,53,2,1,0,0,0,45,220,0,0,215,30,0,345,540
20100000000000,69,2,2,0,0,0,90,149,0,0,480,0,41,0,420
20100000000000,15,2,1,0,0,425,15,50,0,0,90,150,0,0,600
20100000000000,27,2,NA,50,0,0,20,80,0,230,345,0,0,0,585
20100000000000,15,2,1,0,0,0,10,80,0,0,278,60,0,180,780
20100000000000,62,2,3,0,315,0,65,65,25,0,75,205,0,0,350
20100000000000,36,2,2,120,0,0,60,30,9,0,120,45,0,135,740
20100000000000,16,1,3,0,20,0,10,0,3,0,531,0,0,0,726
20100000000000,43,1,5,0,0,0,65,10,0,0,520,25,0,0,720
20100000000000,39,2,1,0,45,0,50,90,30,0,225,0,0,450,360
20100000000000,44,2,2,0,0,0,95,10,0,0,180,0,0,505,515
20100000000000,62,1,2,0,0,0,50,45,25,0,875,15,0,0,360
20100000000000,76,1,2,0,0,0,160,295,0,0,330,0,0,120,410
20100000000000,66,2,4,0,0,0,105,30,0,120,555,0,0,0,510
20100000000000,59,1,2,0,0,0,70,142,90,0,717,0,0,0,375
20100000000000,31,1,3,130,0,0,80,80,120,0,435,0,0,0,540
20100000000000,80,1,4,0,0,0,20,80,0,0,800,0,0,0,540
20100000000000,28,1,2,120,0,0,0,270,0,0,600,0,0,0,300
20100000000000,65,2,1,0,0,0,130,0,170,35,200,155,0,0,465
20100000000000,62,1,1,105,120,0,30,165,10,0,155,0,0,0,693
20100000000000,58,1,5,0,0,0,25,5,0,0,775,0,0,0,630
20100000000000,38,2,4,0,0,0,60,50,0,0,285,0,0,460,510
20100000000000,52,2,2,0,0,0,0,0,0,120,480,120,0,0,650
20100000000000,79,2,3,0,0,0,210,210,0,120,330,0,0,0,570
20100000000000,49,2,1,15,0,0,50,125,250,0,260,0,0,0,510
